client_id,name,age,location_id,joined_bank,banking_contact,nationality,occupation,fee_structure,loyalty_classification,estimated_income,superannuation_savings,amount_of_credit_cards,credit_card_balance,bank_loans,bank_deposits,checking_accounts,saving_accounts,foreign_currency_account,business_lending,properties_owned,risk_weighting,brid,genderid,iaid,gender,banking_relationship,investment_advisor
IND16101,Roger Boyd,58,12772,2015-12-31,Adam Hernandez,European,Web Designer II,High,Jade,123545.41949999997,2984.5199999999995,1,2789.4374999999995,1400623.1235,547459.7361750001,324420.5844,42985.72743299999,31481.784,1255331.5199999998,3,2,3,2,22,Female,Private Bank,Gregory Boyd
IND93121,Aaron Marshall,26,28661,2013-01-14,Ernest Rivera,American,Media Manager IV,Mid,Jade,308182.92919999996,64332.659999999996,1,4458.608,649331.837,103871.63325000001,77431.58114999998,133711.12062,12045.066,176113.98200000002,0,5,4,2,1,Female,Commercial,Victor Dean
IND93310,Cheryl Stewart,21,8767,2021-05-23,Victor Martinez,European,Accounting Assistant II,High,Gold,122579.40939999999,10312.539999999999,1,4959.3634999999995,963017.5555,1115098.0910999998,368467.19532,721419.9824159999,11782.2215,861771.2564999999,1,2,1,1,2,Male,Retail,Jeremy Porter
IND71301,Anne Nguyen,41,14954,2021-09-19,Joshua Ryan,American,Programmer II,High,Jade,30942.074000000004,4469.9800000000005,1,3338.6436000000003,276532.7712,132960.519,108193.36350000002,22381.687365,23955.903600000005,622223.7048000001,0,1,1,2,3,Female,Retail,Ernest Knight
IND21279,Christopher Evans,36,24058,2013-03-20,Adam Hernandez,European,Administrative Assistant IV,High,Jade,50651.5625,8097.25,3,509.205,278071.3725,302540.59627499996,94771.75305,153748.94398649997,16732.385,430027.77249999996,3,1,1,2,4,Female,Retail,Eric Shaw
IND98618,Maria Clark,34,8623,2014-01-29,Joe Hanson,Asian,Help Desk Operator,High,Silver,502309.08,69381.0,2,10639.314,1469913.228,1724818.2965999998,507299.4989999999,1168238.27484,75592.251,2143826.0549999997,0,4,2,1,8,Male,Institutional,Joe Carroll
IND35589,Jimmy Simpson,52,38270,2018-01-08,George Lewis,European,Geological Engineer,High,Jade,87019.7328,11316.5,2,1253.6809999999998,273944.5566,192711.78183400002,54150.418035999995,73580.8621548,21530.9094,772573.6018,1,1,2,2,9,Female,Institutional,Steve Sanchez
IND40198,Louise Sanders,78,29119,2005-05-24,Shawn Cook,European,Junior Executive,Low,Jade,246615.84000000003,35332.0,3,5835.256000000001,622181.8800000001,765153.5899200002,552072.84336,308192.24343360006,29778.576,1078308.2880000002,0,3,3,2,10,Female,Private Bank,Lawrence Sanchez
IND49616,Angela Alvarez,34,31338,2016-08-22,Patrick Graham,Australian,Biostatistician IV,Low,Jade,130023.36149999998,15464.38,1,219.186,366887.1429,447804.619695,221138.08380000002,271999.843074,31010.8338,787555.5561,0,1,3,1,11,Male,Private Bank,Peter Castillo
IND55475,Henry Grant,75,21778,2013-04-06,Anthony Simpson,European,Software Test Engineer I,Low,Jade,82703.8107,8635.67,2,8521.803399999999,842201.3752,2098819.503112,990288.0754120001,424345.83052355994,32253.4398,272858.21140000003,3,4,3,1,12,Male,Private Bank,Victor Gutierrez
IND61272,Larry Foster,47,34773,2020-12-10,Raymond Alexander,European,Internal Auditor,High,Gold,137256.0924,18322.92,2,1050.5628,1035297.6605999998,976553.2090439999,180073.64138400002,471515.90405471995,34284.826799999995,469532.2842,0,1,3,2,13,Female,Private Bank,Daniel Carroll
IND33884,Carol GoPKRalez,34,29287,2021-05-29,Carl Nguyen,European,Chemical Engineer,High,Platinum,224640.7533,57090.719999999994,3,3550.74,1091959.4539999997,828226.5223999998,532945.7622399998,127330.8253568,61733.24199999999,454281.86649999995,1,3,3,1,14,Male,Private Bank,Carl Anderson
IND53121,Timothy Stanley,79,29278,2021-02-15,Joshua Little,American,Accountant III,High,Jade,147292.908,24297.42,1,4097.6208,105266.6496,187826.40298800002,35438.94396,70287.23885400001,7805.9142,1112746.4586,3,1,3,2,15,Female,Private Bank,Nicholas Ward
IND25680,Billy Wilson,73,99,2017-09-25,Dennis Morris,European,Registered Nurse,High,Platinum,263248.9704,47651.76,2,7069.155600000001,693956.2266,1420246.290372,554930.669748,235234.17034572002,1624.1862,2518271.847,3,3,3,2,1,Female,Private Bank,Victor Dean
IND55454,Kathleen Riley,80,20746,2017-11-28,Benjamin Kim,European,Cost Accountant,Low,Jade,193690.9314,11655.54,2,3610.4175,50809.387500000004,342138.313125,255463.27380000002,174627.39501899996,4469.13,626121.9,2,2,4,1,2,Male,Commercial,Jeremy Porter
IND96454,Bobby Jenkins,73,15809,2014-03-05,Nicholas Cunningham,European,Developer IV,Low,Gold,91243.0464,37750.72,3,6660.845200000001,122158.6076,2137439.338016,639548.778304,1273038.67344512,12504.166,411062.27160000004,2,3,4,2,3,Female,Commercial,Ernest Knight
IND14292,Arthur Burns,51,30376,2005-12-13,Shawn Long,Asian,Accounting Assistant II,Low,Platinum,162807.39,70394.40000000001,1,811.9620000000001,709300.7100000001,1667444.1678000004,517118.76090000005,274495.08104099997,2337.768,270162.93600000005,2,4,3,1,4,Male,Private Bank,Eric Shaw
IND67206,Lawrence Richardson,49,38915,2012-01-13,Anthony Simpson,European,Junior Executive,Mid,Gold,193729.93639999998,44815.46,2,2062.1524,66053.911,684295.0488219999,337704.050068,534461.0939760399,47911.894799999995,992911.8584,2,3,1,2,5,Female,Retail,Kevin Kim
IND90177,Julia Roberts,81,5659,2006-11-08,Victor Martinez,European,Software Engineer I,Mid,Platinum,131497.0944,15962.660000000002,1,3127.8640000000005,57219.89880000001,725666.6011860002,233012.21138999998,506302.2478917,21798.321400000004,498564.84460000007,0,1,2,2,6,Female,Institutional,Victor Rogers
IND60970,Philip Fisher,27,28045,2001-12-23,Carl Nguyen,Asian,Accountant I,High,Gold,319205.9145,49416.0,1,9.5526,0.0,309361.938102,360077.00992199994,135307.81161576,17710.520399999998,945483.9752999999,3,4,3,1,7,Male,Private Bank,Eugene Cunningham
IND24003,Jeffrey Taylor,56,16845,2020-02-28,Anthony Simpson,European,Automation Specialist IV,Mid,Silver,44088.512,32418.88,2,2795.52,1485747.3280000002,396706.9184000001,153723.93088000003,55588.55694080001,40504.256,717420.2880000001,1,2,4,2,8,Female,Commercial,Joe Carroll
IND87800,Mark Mccoy,33,20816,2008-01-24,Patrick Graham,European,Biostatistician I,High,Silver,420683.6574,24472.55,1,1011.5625,820479.8999999999,1818216.1562499998,683649.27475,886562.1977874999,14157.724999999999,1549847.5875,1,3,1,1,9,Male,Retail,Steve Sanchez
IND75987,Timothy Cook,79,30025,2006-12-11,Chris Armstrong,European,Nurse,Low,Jade,32062.522800000002,19653.48,1,1612.8189,231528.627,140280.047721,170536.528602,109748.50792290003,5492.470499999999,352732.7331,0,1,1,2,10,Female,Retail,Lawrence Sanchez
IND70083,Larry Green,56,12219,2016-08-28,Benjamin Kim,European,Human Resources Manager,Mid,Jade,92487.6506,23690.51,1,2199.1834,560657.2518,208470.98438399995,49811.651135999986,134675.94566399997,5026.454699999999,407139.67799999996,2,1,1,1,11,Male,Retail,Peter Castillo
IND31444,Edward Gordon,55,33457,2020-01-31,Victor Martinez,European,Analyst Programmer,Mid,Gold,130572.5124,49441.920000000006,1,3225.2286000000004,120782.41560000001,370436.76509400003,206472.95103600004,264528.28668024,17000.1876,854418.2526,0,2,2,1,12,Male,Institutional,Victor Gutierrez
IND70450,Edward Evans,77,31049,2021-07-21,Gregory Simmons,Australian,Database Administrator III,High,Gold,54753.75,5311.0,1,1408.3374999999999,80386.105,11363.74795,14158.1122,4470.9828,8745.7225,390608.62,1,1,2,2,13,Female,Institutional,Daniel Carroll
IND47520,Joseph Morrison,49,3444,2020-03-16,George Lewis,Australian,Web Designer III,Mid,Silver,180214.7886,9226.35,2,587.7144,791256.5891999999,1988033.001948,460993.15987199993,783688.3717824001,36763.448399999994,1991318.0994,2,2,3,2,14,Female,Private Bank,Carl Anderson
IND69076,Kathy Wheeler,67,3711,1996-11-12,Anthony Torres,European,Senior Editor,High,Jade,52826.77799999999,26160.46,2,2617.6122,385480.4256,295345.61293500004,277114.40226,86634.71312760001,20544.7023,71268.3279,2,1,3,2,15,Female,Private Bank,Nicholas Ward
IND53190,Amy Sims,66,30998,2007-01-02,Joshua Bennett,European,Health Coach III,Low,Gold,43622.88,19416.4,1,229.9,39047.14000000001,192729.768,87604.44,223391.322,16286.6,237137.34000000005,0,1,3,1,16,Male,Private Bank,Fred Bryant
IND58356,Sharon Warren,64,3113,2018-01-09,Phillip Peters,African,Web Developer I,Mid,Silver,142841.26080000002,5405.0,1,3431.3884000000003,508939.36319999996,527832.843472,450589.01271999994,171867.52342320004,12316.3344,542464.522,0,2,3,1,17,Male,Private Bank,Ryan Taylor
IND33691,Nicholas Gilbert,49,30551,2009-04-07,Douglas Tucker,African,Systems Administrator III,High,Silver,90437.656,12737.400000000001,3,2830.3616,573366.172,202406.31856,101203.15928,80786.52192960001,9723.8664,704110.0032000002,2,2,3,1,18,Male,Private Bank,Sean Vasquez
IND20398,Melissa Miller,65,16593,2008-09-29,Jason Duncan,Australian,Biostatistician III,High,Jade,32301.4668,5597.4,1,1751.4162,310657.961,74293.469818,64447.347312,14035.200081280002,13795.280599999998,579453.8262,1,1,3,1,19,Male,Private Bank,Nicholas Morrison
IND54314,Kevin Gomez,32,24168,2007-01-01,Jerry Green,European,Project Manager,Mid,Jade,293419.065,16443.25,1,4496.6275000000005,2183384.715,1490773.713375,634781.06505,281227.247607,399.20250000000004,1633759.2874999999,2,4,3,2,20,Female,Private Bank,Jack Phillips
IND74305,Ronald Larson,29,25730,1999-12-11,Bobby Burton,Australian,Software Engineer III,High,Gold,55011.84,14206.199999999999,1,3955.056,479936.37600000005,1209655.584,474674.976,299657.71872,43547.801999999996,698612.484,3,1,4,1,21,Male,Commercial,Juan Ramirez
IND37195,Christine Williams,31,10528,2015-04-16,Joshua Bennett,European,Engineer III,High,Jade,77971.4628,7820.400000000001,1,856.2084,478157.92159999994,61042.62239999999,29222.532,25358.66388,24984.354000000003,487689.4464,0,1,4,2,22,Female,Commercial,Gregory Boyd
IND52609,Angela Roberts,22,30762,2005-07-09,Nicholas Cunningham,European,Health Coach I,High,Jade,84111.50520000001,18940.38,1,156.67200000000003,304608.17600000004,130415.94880000001,61947.57568000001,84900.7826688,3455.216000000001,356683.93600000005,3,1,1,1,1,Male,Retail,Victor Dean
IND26283,Joshua Hughes,58,95,2006-04-21,Shawn Cook,European,Human Resources Assistant I,High,Jade,98369.29340000001,3050.25,1,1441.8936,213195.06530000002,376150.24699700007,235795.677222,198629.78714558002,23821.7763,312562.6112,3,2,2,2,2,Female,Institutional,Jeremy Porter
IND61913,Joshua Stephens,75,10119,2012-08-30,Samuel Fowler,American,Software Test Engineer II,High,Silver,243490.73279999994,63872.759999999995,1,5578.339199999999,1045569.0336,428657.4512640001,214328.72563200002,382765.88883456,32217.3936,1105110.3504,1,3,3,1,3,Male,Private Bank,Ernest Knight
IND35876,Evelyn Ramirez,18,28105,2006-09-27,Frank Brown,American,Web Designer II,Mid,Jade,72431.33959999999,34975.159999999996,1,5303.502599999999,1210753.0797999997,205810.17679199998,127568.29139999999,29765.93466,25402.352799999997,1532523.4671999998,0,2,4,1,4,Male,Commercial,Eric Shaw
IND19011,Lillian Burns,47,33271,2003-11-07,Paul Larson,European,Sales Associate,Mid,Silver,456003.99,25171.2,2,7969.454999999999,1248952.365,1050537.3457499999,674555.5588499999,237200.2743825,71113.77,1347657.8399999999,2,4,1,2,8,Female,Retail,Joe Carroll
IND86703,Lillian Bell,41,11172,2018-02-16,Stephen Payne,European,Biostatistician I,High,Platinum,71422.04160000001,32993.520000000004,1,4253.34,315175.42000000004,38234.015400000004,33404.455559999995,7799.739141600003,38428.488000000005,813247.1200000001,2,2,1,2,9,Female,Retail,Steve Sanchez
IND23640,Phillip Perez,36,18659,2018-04-02,Benjamin Kim,European,Accounting Assistant III,Low,Jade,39077.376,14707.68,2,1305.3768000000002,1187138.9088,717787.7020080001,144670.38955200004,242934.96953232,11997.928800000002,1231614.2904,0,2,1,2,10,Female,Retail,Lawrence Sanchez
IND93407,Karen Morrison,84,18123,2010-04-16,Carl Nguyen,European,Dental Hygienist,High,Jade,274099.1211,26051.76,2,2461.9392000000003,563101.9506,0.0,0.0,0.0,4870.2402,520918.4862,3,2,2,2,11,Female,Institutional,Peter Castillo
IND40136,John Cruz,26,27140,2019-09-25,Victor Martinez,European,Developer IV,Mid,Silver,260826.74799999996,53468.1,3,270.59999999999997,804359.9759999999,529324.3007999999,295539.40128,106261.85338559997,46060.056,296849.184,0,3,2,1,12,Male,Institutional,Victor Gutierrez
IND76215,Joseph Thomas,74,18521,1999-01-07,Jeremy Vasquez,American,Engineer IV,Low,Platinum,334331.8125,18591.75,2,1029.3,164253.285,641260.1524499999,500709.98204999993,396615.0120975001,46006.425,1094810.0175,1,3,3,2,13,Female,Private Bank,Daniel Carroll
IND93216,Anthony Green,47,40585,2012-02-11,Dennis Ruiz,Asian,Software Consultant,High,Jade,61398.259000000005,20668.94,1,550.746,360003.86799999996,277273.3992,305000.73912,109324.94025599996,2850.729,118884.96899999998,2,1,3,1,14,Male,Private Bank,Carl Anderson
IND54572,Terry Hanson,82,4749,2007-04-11,Phillip Peters,European,Software Test Engineer II,High,Gold,63246.3,18575.7,1,2914.1819999999993,448652.6999999999,537205.5151199999,362849.33916,93209.8692024,17124.282,237993.69599999997,0,1,3,2,15,Female,Private Bank,Nicholas Ward
IND18649,Norma Perez,25,7639,2019-03-24,George Lewis,European,Accountant II,Mid,Platinum,158091.856,33824.44,3,1080.0296,207662.7592,177146.43689599997,177146.436896,70553.14986720002,17133.5944,235133.6936,0,2,3,1,1,Male,Private Bank,Victor Dean
IND51790,Ann Bradley,44,6517,2016-09-10,Dennis Morris,European,Software Engineer II,Mid,Jade,131729.85,6664.0599999999995,2,6215.339999999999,863722.1,359436.79,161746.55550000002,166059.79697999996,41209.82,506592.1,2,2,3,1,2,Male,Private Bank,Jeremy Porter
IND17740,Daniel Morrison,38,38743,2011-06-18,Frank Brown,Asian,Health Coach IV,High,Gold,116926.9416,18431.28,2,3828.195,1049088.915,463600.46249999997,200893.53375,58413.65827500001,7382.34,1299697.245,1,2,3,2,3,Female,Private Bank,Ernest Knight
IND49489,Keith Weaver,74,4567,1995-08-09,Nicholas Cunningham,American,Associate Professor,High,Gold,148224.72,27518.0,2,27.808000000000007,302048.916,73076.61792,28675.634879999998,52337.65875840001,17272.56,456098.916,3,1,3,1,4,Male,Private Bank,Eric Shaw
IND50658,Patrick Richardson,35,36151,2021-08-24,Roger Alexander,Asian,Computer Systems Analyst I,Mid,Jade,348248.55519999994,65025.99999999999,1,3435.3572,1369215.6476,450525.3702240001,124963.24137599999,169226.53687391998,6690.9704,2698297.8302,0,3,4,2,5,Female,Commercial,Kevin Kim
IND14798,Beverly Griffin,74,21413,2014-09-24,Shawn Wallace,American,Health Coach I,High,Silver,19637.777700000002,9527.23,2,78.1448,24331.267600000003,150917.76673600002,83660.935908,40993.858594920006,17286.2572,100054.71960000001,0,1,4,1,6,Male,Commercial,Victor Rogers
IND60926,Virginia Greene,62,7197,1995-12-13,Phillip Peters,American,Electrical Engineer,Mid,Jade,150304.49279999998,7326.44,1,767.0608,523866.0856,363305.25088,199374.8328,224185.92310400002,33854.224799999996,607800.0719999999,1,2,1,1,7,Male,Retail,Eugene Cunningham
IND57710,Antonio Ruiz,23,27256,2003-11-05,Ernest Rivera,European,Statistician I,Low,Jade,52109.1276,14277.05,1,209.684,205552.0472,329191.59110400005,116949.64420800001,88665.15618287999,6681.615999999999,1148304.5048,1,1,2,1,8,Male,Institutional,Joe Carroll
IND71795,John Chapman,68,21290,2007-08-23,Keith Griffin,European,Programmer Analyst III,Mid,Platinum,156091.75009999998,20609.04,3,382.87199999999996,707577.9,435466.0224,112495.38912,252896.8925088,35301.624,837133.632,2,1,3,1,9,Male,Private Bank,Steve Sanchez
IND98220,Ruth Bishop,79,3957,2020-01-24,Joe Price,American,Human Resources Assistant II,High,Jade,338383.13,57267.049999999996,1,3505.859,1565513.7225,730384.0211499999,497152.14885000006,144603.76082599993,74778.17199999999,884890.5449999999,1,4,4,1,10,Male,Commercial,Lawrence Sanchez
IND91662,Alice Chavez,29,39668,2019-02-21,Jerry Green,European,Assistant Professor,High,Silver,198553.59160000004,20851.74,1,5581.3121,414518.5681,1144704.0114509999,696263.264697,570935.8770515401,40208.750400000004,1522411.2267,3,4,1,2,11,Female,Retail,Peter Castillo
IND18901,Heather Palmer,52,374,2002-11-05,Stephen Payne,European,Accounting Assistant III,Mid,Silver,190119.93,47110.05,1,3525.21,527884.11,99616.37399999998,122860.1946,23741.902469999997,6920.9400000000005,136723.47,1,2,1,1,12,Male,Retail,Victor Gutierrez
IND49888,Louis Banks,68,31302,2003-01-26,Paul Larson,American,Administrative Assistant I,Mid,Jade,147956.79360000003,52216.520000000004,1,2977.8560000000007,701005.5808000001,720211.8533120002,302231.7598720001,279467.92093696,23058.963200000006,1504310.0352000003,3,2,1,2,13,Female,Retail,Daniel Carroll
IND76081,Bobby Gordon,41,23190,2010-01-02,Nicholas Cunningham,Australian,Geologist IV,Mid,Gold,91071.75000000001,33111.54,1,8062.645800000001,677123.9442,558283.302786,298923.343224,147703.2990048,7880.756400000001,1554534.9402000003,0,2,2,1,14,Male,Institutional,Carl Anderson
IND93705,Randy Gardner,70,18488,2020-10-28,Paul Holmes,American,Help Desk Operator,Mid,Gold,96545.36760000001,23191.74,1,3386.4468000000006,1104753.0252,1268890.972272,630243.8604000001,252097.54416,39556.0506,1941061.8744,3,2,2,1,15,Male,Institutional,Nicholas Ward
IND52847,Eric Burke,32,8566,2015-06-19,Samuel Fowler,Asian,Assistant Media Planner,High,Jade,63765.0,11354.0,1,2644.75,1012372.6699999999,1568405.3218,541210.2871,478805.42746499996,62053.28999999999,1665045.8499999999,3,2,3,2,16,Female,Private Bank,Fred Bryant
IND24592,Martin Shaw,47,10123,2007-09-18,Carl Nguyen,American,Technical Writer,Mid,Jade,191715.4008,31923.72,1,1296.4536,402401.84400000004,269460.700704,316098.12967200007,121257.3153168,19337.292,673780.4424,0,2,3,1,17,Male,Private Bank,Ryan Taylor
IND31656,Phillip Hansen,83,633,2012-01-28,Dennis Ruiz,Asian,Human Resources Assistant I,Mid,Silver,218312.27399999998,21480.879999999997,2,5886.562,1757312.986,1099352.8326,389770.54974,402363.13673160004,30773.908000000003,735797.502,1,5,3,1,18,Male,Private Bank,Sean Vasquez
IND85060,Randy Wheeler,24,8325,2006-02-15,Roger Alexander,European,Software Consultant,High,Platinum,157167.46889999998,31498.249999999996,1,1909.3044,597244.5318,262988.535279,128881.798746,51169.55739401999,42714.8045,836453.628,3,1,3,1,19,Male,Private Bank,Nicholas Morrison
IND89139,Matthew Brown,84,23184,2014-07-09,Joshua Ryan,European,Administrative Assistant IV,Low,Gold,101929.59,13019.3,1,1163.8059999999998,614181.3019999999,445914.2447899999,137911.62209999998,373280.79048399994,12590.017999999998,516128.9489999999,3,1,3,2,20,Female,Private Bank,Jack Phillips
IND81423,Dennis Hanson,29,24727,2009-03-01,Benjamin Kim,American,Recruiter,High,Jade,40985.49,19729.5,3,646.125,358194.375,186144.375,114664.93500000001,37333.11584999999,13412.625,222160.875,1,1,3,1,21,Male,Private Bank,Juan Ramirez
IND85541,Alan Bennett,85,9136,2018-09-12,Dennis Morris,African,Staff Scientist,High,Jade,109218.7008,6820.8,1,2767.2960000000003,587928.768,198995.42880000002,128873.23008000002,68530.2352896,13413.792,566786.3040000001,2,1,3,1,22,Male,Private Bank,Gregory Boyd
IND59219,Helen Jenkins,51,10186,2014-10-30,Stephen Payne,European,Web Developer III,High,Jade,174258.5152,34182.52,1,5185.776400000001,648432.6688,1125389.6675080003,830895.175076,198783.7823916,36318.32520000001,452950.7736,3,3,4,1,1,Male,Commercial,Victor Dean
IND43444,Katherine Myers,59,33070,2018-11-14,Shawn Cook,European,Senior Developer,High,Jade,74059.23479999999,14702.599999999999,2,1361.5608,374815.98939999996,384271.047739,216865.838823,124336.41425851999,8446.3977,962931.9900999999,2,1,4,2,2,Female,Commercial,Jeremy Porter
IND85299,Scott Hughes,84,2874,2019-07-22,Shawn Cook,American,Health Coach IV,High,Silver,158874.1406,38794.28,1,2366.2786,261364.7603,127418.48128100001,101648.451359,46915.77114132999,40839.4567,334072.2245,0,2,1,1,3,Male,Retail,Ernest Knight
IND58136,Barbara Larson,69,18759,2020-01-10,Nicholas Simmons,American,Office Assistant II,Mid,Jade,71958.90000000001,13998.9,1,2756.8319999999994,124510.614,199185.61835999996,120782.76857999997,81093.9746238,15957.534,639874.9199999999,1,1,2,2,4,Female,Institutional,Eric Shaw
IND35725,Tammy Willis,17,29867,2012-11-02,Jerry Green,European,Operator,High,Jade,189074.1909,13258.42,1,4138.7784,291504.549,247346.43250000002,81405.155,162184.1165,11482.618400000001,358381.3591,3,3,3,2,8,Female,Private Bank,Joe Carroll
IND15648,Aaron Williams,78,12708,2005-01-06,Chris Armstrong,Australian,Software Engineer III,High,Platinum,74408.6892,28689.62,2,494.7600000000001,24949.0976,188138.62502400004,218375.18976000007,61145.0531328,12141.516800000001,326434.34880000004,2,1,4,2,9,Female,Commercial,Steve Sanchez
